bin,n,pulse_snr_mean,pulse_snr_sd,resp_snr_mean,resp_snr_sd
1,38,9.31597135425387,5.303589165574349,7.359542185943291,8.175738655680542
2,678,12.214066827713353,6.385224030756957,7.990909314974969,6.896429780612284
3,136,11.306679529027647,6.039406227518213,7.312400855074255,6.557385423961542
4,90,11.84381385613575,4.7022919166740795,7.49916150709721,6.538811323236763
5,104,8.048221321346947,7.648147930639272,8.75117701529645,5.937874447027915
6,62,2.1407169445344345,8.831208750311573,6.805193193976261,8.053192109843406
