bin_left,bin_right,bin,n,pulse_snr_mean,pulse_snr_sd,resp_snr_mean,resp_snr_sd
0.0,0.05,No movements [0.00; 0.05],249,10.414146112218415,5.617081183306049,3.513070198877871,5.812055582741626
0.05,0.1,Few movements [0.05; 0.10],446,2.9794385610190517,9.99372131438207,-0.34169102080033703,7.6541556911990005
0.1,0.15,Some movements [0.10; 0.15],234,1.6655807884958298,10.118132600355482,-2.8446384318395523,7.965848390628831
0.15,0.25,Moderate movement [0.15; 0.25],212,1.0547070427245584,9.612733082823691,-3.945578836390402,8.076945729938775
0.25,1.0,Extreme movement [0.25; 1.00],262,-2.148317526385568,11.368456723923737,-3.625974222057954,8.244952322509072
