bin_left,bin_right,bin,n,pulse_snr_mean,pulse_snr_sd,resp_snr_mean,resp_snr_sd
0.0,50.0,[0; 50],37,9.673984728410927,6.055910396456415,7.415721424875907,8.251031709242353
50.0,60.0,[50; 60],110,12.290484001437953,5.72906566992178,7.70661005985362,6.550542512186487
60.0,70.0,[60; 70],286,12.14288628818979,5.5518489898222505,8.632313292091297,6.530084526786639
70.0,80.0,[70; 80],339,11.065869850228443,7.093360156429871,8.113374769161652,6.9257246186785055
80.0,90.0,[80; 90],197,9.917442306540561,7.6761234899557165,7.629037614284292,6.705899185079243
90.0,100.0,[90; 100],89,9.618775385066018,7.605427770065248,6.011384429795641,7.352367247470907
100.0,110.0,[100; 110],32,11.517458682703358,7.389579197495482,7.444270817977536,6.899891588517653
110.0,130.0,[110; 130],18,5.337972075973362,12.468338800326444,4.5233233408757725,6.995201406494674
