bin_left,bin_right,bin,n,pulse_snr_mean,pulse_snr_sd,resp_snr_mean,resp_snr_sd
0.0,0.05,Perfect illuminance [0.00; 0.05],637,3.9203746466293046,10.72728273311563,-1.2979260927955742,8.271042249403813
0.05,0.1,Few variation [0.05; 0.10],433,2.875413123310386,9.570150768946167,-0.3795583442880752,7.149924946519113
0.1,0.15,Some variation [0.10; 0.15],149,4.036970790709612,8.585810157314892,-0.43177305396814736,7.470130707526172
0.15,0.25,Moderate variation [0.15; 0.25],105,1.5780834099989625,8.421073496595461,-2.5105913969902565,8.914212780182845
0.25,1.0,Extreme variation [0.25; 1.00],79,-6.798776612055613,12.226758540187197,-5.198469650481226,9.078161931079006
