bin,n,pulse_snr_mean_vl,pulse_snr_sd_vl,pulse_snr_mean_pos,pulse_snr_sd_pos,pulse_snr_mean_vl_64,pulse_snr_sd_vl_64
1,38,9.31597135425387,5.303589165574349,5.158845852228135,5.989419457007907,8.335560563316852,5.46628468198929
2,678,12.214066827713353,6.385224030756957,8.340348941868656,7.946377483636804,11.32637728533785,7.257483451510447
3,136,11.306679529027647,6.039406227518213,5.405488985042969,8.16430396542606,8.440973372258867,9.499130056914096
4,90,11.84381385613575,4.7022919166740795,5.5583986852991085,9.375047344868722,8.250748951934902,7.652769238847536
5,104,8.048221321346947,7.648147930639272,-0.7646432346153194,9.058662520049923,-0.8120973103665636,14.323157188231805
6,62,2.1407169445344345,8.831208750311573,-6.266872415513076,8.006813036167246,-2.3772409895172024,12.122853086174738
