bin_left,bin_right,bin,n,pulse_snr_mean,pulse_snr_sd,resp_snr_mean,resp_snr_sd
0.0,10.0,[0; 10],50,10.953653243811827,7.1114180474060324,8.66864989344304,7.143509359152884
10.0,15.0,[10; 15],211,10.4444750686166,6.469342792182819,7.554134682047443,6.587408762566266
15.0,20.0,[15; 20],444,11.130102255427172,6.905131901672679,8.67965201721831,6.7648990281517705
20.0,25.0,[20; 25],321,11.420338052216046,6.9487139560993185,7.4395317325098,6.720714079623815
25.0,40.0,[25; 40],71,9.95251485666485,8.267577882729597,4.57444087025094,7.119636772088377
